Stock Index,Stock Price
AC3235,844.4650621986185
AC3236,380.7798278547432
AC3237,1284.3412755812628
AC3238,831.7100961848452
AC3239,339.9884220816605
AC3240,488.0129257474272
AC3241,823.752580530098
AC3242,825.6658477241978
AC3243,890.205046292867
AC3244,1220.6801424822625
AC3245,447.9138654641897
AC3246,349.77696284690694
AC3247,782.01751027325
AC3248,174.0979441143578
AC3249,127.08120822361184
AC3250,185.5632696431528
AC3251,1424.2520826685286
AC3252,-17.7205723571538
AC3253,486.62905220013647
AC3254,81.94338260185953
AC3255,938.3321795838443
AC3256,801.5735942806172
AC3257,1317.9122250347891
AC3258,507.2910516224714
AC3259,222.15004603556088
AC3260,202.13017402245555
AC3261,55.208991408444376
AC3262,172.27824317764157
AC3263,327.31419763538906
AC3264,-74.01982615535184
AC3265,1039.6529508074673
AC3266,811.5823947923183
AC3267,494.99159013178496
AC3268,746.6530544747105
AC3269,368.9545617495294
AC3270,882.4946707659097
AC3271,-167.85134055720135
AC3272,315.10867830911593
AC3273,879.7716666900798
AC3274,610.8283263436418
AC3275,489.8285562605108
AC3276,612.2480251293633
AC3277,1024.518838267878
AC3278,964.882541204836
AC3279,161.14507449375924
AC3280,402.00817414970436
AC3281,844.1956238814911
AC3282,57.27678296409135
AC3283,804.0493597046917
AC3284,521.961470955449
AC3285,-78.71000994862624
AC3286,861.7689018315326
AC3287,269.05817476412983
AC3288,170.3782515189738
AC3289,237.39972918878232
AC3290,414.50244303789793
AC3291,66.07661084488177
AC3292,-92.61914781416692
AC3293,487.8445119504697
AC3294,222.80579261954756
AC3295,782.8055097785276
AC3296,18.196329672405454
AC3297,565.5920798043768
AC3298,755.6564361212924
AC3299,-20.522021350332693
AC3300,-104.0333230725463
AC3301,829.2002928106443
AC3302,124.797900582691
AC3303,1104.3109361983288
AC3304,-305.8680308191333
AC3305,187.85118579222274
AC3306,239.85828008548367
AC3307,-341.2968069305916
AC3308,369.12553608303426
AC3309,344.56157723257195
AC3310,846.4969592885858
AC3311,1007.5898004254342
AC3312,813.5298564595874
AC3313,-316.74459266710414
AC3314,-113.81478498773203
AC3315,-25.397174153070864
AC3316,387.7576852047133
AC3317,870.7127933574003
AC3318,645.4217286925292
AC3319,1045.7920985400324
AC3320,-397.61879123642194
AC3321,-4.132733500645941
AC3322,154.51452841264143
AC3323,810.1810033531802
AC3324,-62.8793703302473
AC3325,230.17447425371927
AC3326,324.01890581389523
AC3327,-152.97941287050503
AC3328,62.91588251042435
AC3329,676.4928691424285
AC3330,867.2680161145369
AC3331,535.5212722562352
AC3332,737.470769693893
AC3333,1222.3718821624948
AC3334,230.57466863045067
AC3335,667.5566709170483
AC3336,93.57310833880956
AC3337,631.8701132869154
AC3338,1400.7727846031994
AC3339,763.1318239839062
AC3340,-143.62170935147208
AC3341,1096.3092216773885
AC3342,1092.7609585649839
AC3343,363.74625333325037
